Project,Bug_ID,Technique,Owner,Master_Status,Audit_Status,Target_Classes,Candidate_Files,Candidate_Packages,Target_Match_Files,Candidate_SHA256
Cli,37,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.DefaultParser,,,,
Cli,38,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.DefaultParser,,,,
Cli,39,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.TypeHandler,,,,
Cli,40,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,org.apache.commons.cli.TypeHandler,,,,
Closure,1,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.RemoveUnusedVars,,,,
Closure,2,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeCheck,,,,
Closure,3,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FlowSensitiveInlineVariables,,,,
Closure,4,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.NamedType,,,,
Closure,5,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineObjectLiterals,,,,
Closure,6,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeValidator,,,,
Closure,7,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,,,,
Closure,8,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CollapseVariableDeclarations,,,,
Closure,10,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NodeUtil,,,,
Closure,11,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeCheck,,,,
Closure,12,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.MaybeReachingVariableUse,,,,
Closure,13,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeOptimizationsPass,,,,
Closure,14,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ControlFlowAnalysis,,,,
Closure,15,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FlowSensitiveInlineVariables,,,,
Closure,16,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ScopedAliases,,,,
Closure,17,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,18,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.Compiler,Deepseek-v4_flash\TestCode\Closure_18b\CompilerDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_18b\CompilerDeepseekTest.java,851a6cba41a35c1cdfce34d1a29ca248773d7e3aada3d8f6242f2bfb5b938d7c
Closure,19,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,,,,
Closure,20,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,,,,
Closure,21,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CheckSideEffects,,,,
Closure,22,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CheckSideEffects,,,,
Closure,22,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CheckSideEffects,Deepseek-v4_flash\TestCode\Closure_22b\CheckSideEffectsDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_22b\CheckSideEffectsDeepseekTest.java,33d01ff00929bed37f0df94330bdd7bfa1a4a321fe1ab31f9595e464b72494c4
Closure,23,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeFoldConstants,,,,
Closure,24,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ScopedAliases,,,,
Closure,25,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeInference,,,,
Closure,27,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.IR,,,,
Closure,28,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineCostEstimator,,,,
Closure,29,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineObjectLiterals,,,,
Closure,30,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FlowSensitiveInlineVariables;com.google.javascript.jscomp.MustBeReachingVariableDef,,,,
Closure,31,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.Compiler,Deepseek-v4_flash\TestCode\Closure_31b\CompilerDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_31b\CompilerDeepseekTest.java,b8814e2364f981d8267ee4d3d0dd1df3850b8b364a7283b2ad12fe3239672122
Closure,32,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.JsDocInfoParser,,,,
Closure,33,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.PrototypeObjectType,,,,
Closure,34,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator;com.google.javascript.jscomp.CodePrinter,,,,
Closure,34,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator;com.google.javascript.jscomp.CodePrinter,Deepseek-v4_flash\TestCode\Closure_34b\CodeGeneratorDeepseekTest.java;Deepseek-v4_flash\TestCode\Closure_34b\CodePrinterDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_34b\CodeGeneratorDeepseekTest.java;Deepseek-v4_flash\TestCode\Closure_34b\CodePrinterDeepseekTest.java,c8bab734788ab15b9aca23209117054f009e1b978abea60befa46aa435a86cbd;eae56c136e7270e7426cac83b5aa36558d2acb6fae097caad2d6c6053e28f573
Closure,34,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator;com.google.javascript.jscomp.CodePrinter,Gemini-3_8_flash\TestCode\Closure_34b\CodeGeneratorGeminiTest.java;Gemini-3_8_flash\TestCode\Closure_34b\CodePrinterGeminiTest.java,com.google.javascript.jscomp,Gemini-3_8_flash\TestCode\Closure_34b\CodeGeneratorGeminiTest.java;Gemini-3_8_flash\TestCode\Closure_34b\CodePrinterGeminiTest.java,d6e2fb3345c3112f86d2a0fc3b7d5374bf999a88cb2c5b91b92577f6802eb82f;4313ca87e423e5ae3fe78d3a58911a4a103cddd48ef2191bd216c96195e88249
Closure,35,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeInference,,,,
Closure,36,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineVariables,,,,
Closure,37,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NodeTraversal;com.google.javascript.jscomp.parsing.IRFactory,,,,
Closure,38,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeConsumer,,,,
Closure,39,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.PrototypeObjectType,,,,
Closure,40,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NameAnalyzer,,,,
Closure,41,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionTypeBuilder,,,,
Closure,41,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.FunctionTypeBuilder,Deepseek-v4_flash\TestCode\Closure_41b\FunctionTypeBuilderDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_41b\FunctionTypeBuilderDeepseekTest.java,ef0e57714cc78a6efce3f1e505e28f57a3c748b2a76854b100ebd530c41bd926
Closure,42,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.IRFactory,,,,
Closure,42,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Deepseek-v4_flash\TestCode\Closure_42b\IRFactoryDeepseekTest.java,com.google.javascript.jscomp.parsing,Deepseek-v4_flash\TestCode\Closure_42b\IRFactoryDeepseekTest.java,88720c1a172c8e7aacf84466796ccc04bb8106c3ce46a2d05a30d9f9d03047dd
Closure,42,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Gemini-3_8_flash\TestCode\Closure_42b\IRFactoryGeminiTest.java,com.google.javascript.jscomp.parsing,Gemini-3_8_flash\TestCode\Closure_42b\IRFactoryGeminiTest.java,fd2e3786f757826c7565b6a3f9edc871e048ba42ff0d20282875522af26d412b
Closure,43,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,44,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeConsumer,,,,
Closure,45,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.RemoveUnusedVars,,,,
Closure,46,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.RecordType,,,,
Closure,47,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.debugging.sourcemap.SourceMapConsumerV3;com.google.javascript.jscomp.SourceMap,,,,
Closure,48,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,49,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.MakeDeclaredNamesUnique,,,,
Closure,50,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeReplaceKnownMethods,,,,
Closure,51,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeConsumer,,,,
Closure,52,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator,,,,
Closure,52,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator,Deepseek-v4_flash\TestCode\Closure_52b\CodeGeneratorDeepseekTest.java,com.google.javascript.jscomp,Deepseek-v4_flash\TestCode\Closure_52b\CodeGeneratorDeepseekTest.java,0fa3e695b40fd6c5cbd24b4e518f47ca169076f27a245dc2ae9bff3237d9d7a2
Closure,52,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.CodeGenerator,Gemini-3_8_flash\TestCode\Closure_52b\CodeGeneratorGeminiTest.java,com.google.javascript.jscomp,Gemini-3_8_flash\TestCode\Closure_52b\CodeGeneratorGeminiTest.java,60a9540dde57c9d4abca3d09b26270432e69071f805a1175bf19f465ad8e206b
Closure,53,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.InlineObjectLiterals,,,,
Closure,54,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator;com.google.javascript.rhino.jstype.FunctionType,,,,
Closure,55,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionRewriter,,,,
Closure,57,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ClosureCodingConvention,,,,
Closure,58,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.LiveVariablesAnalysis,,,,
Closure,60,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NodeUtil,,,,
Closure,61,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NodeUtil,,,,
Closure,62,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.LightweightMessageFormatter,,,,
Closure,65,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator,,,,
Closure,66,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeCheck,,,,
Closure,67,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.AnalyzePrototypeProperties,,,,
Closure,68,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.JsDocInfoParser,,,,
Closure,69,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeCheck,,,,
Closure,70,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,71,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CheckAccessControls,,,,
Closure,72,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionToBlockMutator;com.google.javascript.jscomp.RenameLabels,,,,
Closure,73,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator,,,,
Closure,74,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeFoldConstants,,,,
Closure,75,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NodeUtil,,,,
Closure,76,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.DeadAssignmentsElimination,,,,
Closure,77,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CodeGenerator,,,,
Closure,78,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeFoldConstants,,,,
Closure,79,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.Normalize;com.google.javascript.jscomp.VarCheck,,,,
Closure,80,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NodeUtil,,,,
Closure,81,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.IRFactory,,,,
Closure,81,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Deepseek-v4_flash\TestCode\Closure_81b\IRFactoryDeepseekTest.java,com.google.javascript.jscomp.parsing,Deepseek-v4_flash\TestCode\Closure_81b\IRFactoryDeepseekTest.java,6ff53440534b2c5ec3383c6304941a4a46df315ef942b0badf36853017206ccb
Closure,81,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Gemini-3_8_flash\TestCode\Closure_81b\IRFactoryGeminiTest.java,com.google.javascript.jscomp.parsing,Gemini-3_8_flash\TestCode\Closure_81b\IRFactoryGeminiTest.java,8e4c2fdc1a7896266a0bd821a4bd247108f618baa31de71ea9fad56855071780
Closure,82,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.rhino.jstype.JSType,,,,
Closure,83,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CommandLineRunner,,,,
Closure,84,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.parsing.IRFactory,,,,
Closure,84,DeepSeek V4 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Deepseek-v4_flash\TestCode\Closure_84b\IRFactoryDeepseekTest.java,com.google.javascript.jscomp.parsing,Deepseek-v4_flash\TestCode\Closure_84b\IRFactoryDeepseekTest.java,211ceac99a87f185b9738dc33ddbb50ece854e7f9cf681f1dc0bc55718026d4d
Closure,84,Gemini 3.8 Flash,Member 3 — AI,NO_SUITE,MATCHING_CANDIDATE_NOT_ADMITTED,com.google.javascript.jscomp.parsing.IRFactory,Gemini-3_8_flash\TestCode\Closure_84b\IRFactoryGeminiTest.java,com.google.javascript.jscomp.parsing,Gemini-3_8_flash\TestCode\Closure_84b\IRFactoryGeminiTest.java,37a8b918618fdda8c8c6829f4693124be324938dc889d56dbcaf27efaf003f81
Closure,85,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.UnreachableCodeElimination,,,,
Closure,86,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.NodeUtil,,,,
Closure,87,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,,,,
Closure,88,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.DeadAssignmentsElimination,,,,
Closure,89,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CollapseProperties;com.google.javascript.jscomp.GlobalNamespace,,,,
Closure,90,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.FunctionTypeBuilder;com.google.javascript.rhino.jstype.FunctionType,,,,
Closure,91,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CheckGlobalThis,,,,
Closure,92,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ProcessClosurePrimitives,,,,
Closure,95,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypedScopeCreator,,,,
Closure,96,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.TypeCheck,,,,
Closure,97,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.PeepholeFoldConstants,,,,
Closure,98,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.ReferenceCollectingCallback,,,,
Closure,99,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CheckGlobalThis,,,,
Closure,100,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CheckGlobalThis,,,,
Closure,101,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.CommandLineRunner,,,,
Closure,102,IPO (Native IPO),Member 1 — IPO,NO_SUITE,NO_JAVA_CANDIDATE,com.google.javascript.jscomp.Normalize,,,,
