bug,tech,target_cls,package_cls,file_rel,sha256,prompt_rel
Closure-52,Gemini 3.8 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorGeminiTest,Gemini-3_8_flash/TestCode/Closure_52b/CodeGeneratorGeminiTest.java,60a9540dde57c9d4abca3d09b26270432e69071f805a1175bf19f465ad8e206b,Gemini-3_8_flash/Prompt/Closure_52b/actual_prompt_CodeGenerator.md
Closure-81,DeepSeek V4 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryDeepseekTest,Deepseek-v4_flash/TestCode/Closure_81b/IRFactoryDeepseekTest.java,6ff53440534b2c5ec3383c6304941a4a46df315ef942b0badf36853017206ccb,Deepseek-v4_flash/Prompt/Closure_81b/actual_prompt_IRFactory.md
Closure-81,Gemini 3.8 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryGeminiTest,Gemini-3_8_flash/TestCode/Closure_81b/IRFactoryGeminiTest.java,8e4c2fdc1a7896266a0bd821a4bd247108f618baa31de71ea9fad56855071780,Gemini-3_8_flash/Prompt/Closure_81b/actual_prompt_IRFactory.md
Closure-84,DeepSeek V4 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryDeepseekTest,Deepseek-v4_flash/TestCode/Closure_84b/IRFactoryDeepseekTest.java,211ceac99a87f185b9738dc33ddbb50ece854e7f9cf681f1dc0bc55718026d4d,Deepseek-v4_flash/Prompt/Closure_84b/actual_prompt_IRFactory.md
Closure-84,Gemini 3.8 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryGeminiTest,Gemini-3_8_flash/TestCode/Closure_84b/IRFactoryGeminiTest.java,37a8b918618fdda8c8c6829f4693124be324938dc889d56dbcaf27efaf003f81,Gemini-3_8_flash/Prompt/Closure_84b/actual_prompt_IRFactory.md
Closure-122,DeepSeek V4 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryDeepseekTest,Deepseek-v4_flash/TestCode/Closure_122b/IRFactoryDeepseekTest.java,8ade16ba37cb612f0dbd62e36c57aa712e18bcfe8da6fe7f2e204970d04e83bf,Deepseek-v4_flash/Prompt/Closure_122b/actual_prompt_IRFactory.md
Closure-122,Gemini 3.8 Flash,com.google.javascript.jscomp.parsing.IRFactory,com.google.javascript.jscomp.parsing.IRFactoryGeminiTest,Gemini-3_8_flash/TestCode/Closure_122b/IRFactoryGeminiTest.java,67cd16b15ac12e95c4d200806ae6da22ad2b21263773a9dcd3920215e253d96a,Gemini-3_8_flash/Prompt/Closure_122b/actual_prompt_IRFactory.md
Closure-123,DeepSeek V4 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorDeepseekTest,Deepseek-v4_flash/TestCode/Closure_123b/CodeGeneratorDeepseekTest.java,b4d0450b4b0b7cc34bef5dae74178d3d914441d6cec2f959763417ba09fb2e10,Deepseek-v4_flash/Prompt/Closure_123b/actual_prompt_CodeGenerator.md
Closure-123,Gemini 3.8 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorGeminiTest,Gemini-3_8_flash/TestCode/Closure_123b/CodeGeneratorGeminiTest.java,373216b2e06d17bb086aac9cf3d8cd144a3879e147956d6988f8d9ba92f3ba98,Gemini-3_8_flash/Prompt/Closure_123b/actual_prompt_CodeGenerator.md
Closure-128,DeepSeek V4 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorDeepseekTest,Deepseek-v4_flash/TestCode/Closure_128b/CodeGeneratorDeepseekTest.java,85289e8be3677f5910f5dd16e68705d456e3b145b551e067c0b9004fa460b69e,Deepseek-v4_flash/Prompt/Closure_128b/actual_prompt_CodeGenerator.md
Closure-128,Gemini 3.8 Flash,com.google.javascript.jscomp.CodeGenerator,com.google.javascript.jscomp.CodeGeneratorGeminiTest,Gemini-3_8_flash/TestCode/Closure_128b/CodeGeneratorGeminiTest.java,efbc33229e471f93cbd39cddaf996886efa21d057df7873fc75a647d25c1f9b8,Gemini-3_8_flash/Prompt/Closure_128b/actual_prompt_CodeGenerator.md
Closure-131,DeepSeek V4 Flash,com.google.javascript.rhino.TokenStream,com.google.javascript.rhino.TokenStreamDeepseekTest,Deepseek-v4_flash/TestCode/Closure_131b/TokenStreamDeepseekTest.java,7987dc7fa89cbd8ce98bee2be06a8a94845cc9f668f759f04d38cf77d805387d,Deepseek-v4_flash/Prompt/Closure_131b/actual_prompt_TokenStream.md
Closure-131,Gemini 3.8 Flash,com.google.javascript.rhino.TokenStream,com.google.javascript.rhino.TokenStreamGeminiTest,Gemini-3_8_flash/TestCode/Closure_131b/TokenStreamGeminiTest.java,1cee1ad94aea1169941f906e6ca02de1eb7f788bcdec129c99a1928e65ec1625,Gemini-3_8_flash/Prompt/Closure_131b/actual_prompt_TokenStream.md
