Project,Bug_ID,Technique,Target_Classes,Suite_Available,Test_Files,Suite_SHA256,Inventory_Status,Error_Detail
Chart,7,DeepSeek V4 Flash,org.jfree.data.time.TimePeriodValues,YES,TimePeriodValuesDeepseekTest.java,49cbcf577dc747c186acaa2f56ba039658318889e7e90f37566bd9bce002a090,READY,
Chart,7,Gemini 3.8 Flash,org.jfree.data.time.TimePeriodValues,YES,TimePeriodValuesGeminiTest.java,60fe7af45866cb2e94ceda4918a794f23c85dd8bbdfc88f2485f3ac54fb5d583,READY,
Chart,8,IPO (Native IPO),org.jfree.data.time.Week,NO,,,NO_SUITE,
Chart,8,MIO (EvoSuite SBST),org.jfree.data.time.Week,YES,Week_ESTest.java,d0bff28f161893b8f98ae51811cdc81b4bf939306db963ab4a5ba905f0aabe5b,READY,
Chart,8,DeepSeek V4 Flash,org.jfree.data.time.Week,YES,WeekDeepseekTest.java,922ab674e193454df11d7bc7cb054860a10294caa9e79981c130d869e7bc090e,READY,
Chart,8,Gemini 3.8 Flash,org.jfree.data.time.Week,YES,WeekGeminiTest.java,8c8d7343fa3208047cc8b1427321b34ec77af94cf46fa5422cc3fc971529b039,READY,
Chart,9,IPO (Native IPO),org.jfree.data.time.TimeSeries,YES,TimeSeries_IPOTest.java,17ccb9e096c10d86d1ffee3cda9e01e74bae1bde5377c8a9416abf9383cdcbc9,READY,
Chart,9,MIO (EvoSuite SBST),org.jfree.data.time.TimeSeries,YES,TimeSeries_ESTest.java,e23fba13adc93b984a706be23b1f85cf6d9da3cc66c4e3e29827301cf75e4f62,READY,
Chart,9,DeepSeek V4 Flash,org.jfree.data.time.TimeSeries,YES,TimeSeriesDeepseekTest.java,f6dd963d582e85470d64a5bcdcad83558cb06e42cf5f1892057c317f14d33a76,READY,
Chart,9,Gemini 3.8 Flash,org.jfree.data.time.TimeSeries,YES,TimeSeriesGeminiTest.java,ed2246653d3fb4e1f3ebb492f7a8a0e155825e5ff715b637b6bb273f201a4d64,READY,
Chart,10,IPO (Native IPO),org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,NO,,,NO_SUITE,
Chart,10,MIO (EvoSuite SBST),org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,YES,StandardToolTipTagFragmentGenerator_ESTest.java,c24c768804b90567e7a4c08a8d24b9731912e0409547c83131509552e89d1bf3,READY,
Chart,10,DeepSeek V4 Flash,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,YES,StandardToolTipTagFragmentGeneratorDeepseekTest.java,fe88507bc1f2ea4b4d80c03f751e9e7fd6812d7c1ae601ba43b8b44e4bb2f682,READY,
Chart,10,Gemini 3.8 Flash,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,YES,StandardToolTipTagFragmentGeneratorGeminiTest.java,f1bc14a69c7ab6abb685f6bd7a19141d726b8e7bb6d06559a4ed826582faab3c,READY,
Chart,11,IPO (Native IPO),org.jfree.chart.util.ShapeUtilities,YES,ShapeUtilities_IPOTest.java,98fee6260d13abf0a8c02cb77d7482ce644d989a61769e4857b8550e0528c6a5,READY,
Chart,11,MIO (EvoSuite SBST),org.jfree.chart.util.ShapeUtilities,YES,ShapeUtilities_ESTest.java,92210b80b45b4bddf74e087c7ab7711aec7ad5894aadab8ed400193afb19c5b1,READY,
Chart,11,DeepSeek V4 Flash,org.jfree.chart.util.ShapeUtilities,YES,ShapeUtilitiesDeepseekTest.java,2ef7db5c83b546d28f41bfdd7dc36b361f75bab957f3b02541461ae0192c9096,READY,
Chart,11,Gemini 3.8 Flash,org.jfree.chart.util.ShapeUtilities,YES,ShapeUtilitiesGeminiTest.java,d81728022b3b60bfc160c29a1baeffba914061dd590edaaa261b9c2cff24dd33,READY,
Chart,12,IPO (Native IPO),org.jfree.chart.plot.MultiplePiePlot,NO,,,NO_SUITE,
Chart,12,MIO (EvoSuite SBST),org.jfree.chart.plot.MultiplePiePlot,YES,MultiplePiePlot_ESTest.java,4faf47633705ba3bee89917545e1477ededfceab24410b267e97637ee56f5864,READY,
Chart,12,DeepSeek V4 Flash,org.jfree.chart.plot.MultiplePiePlot,YES,MultiplePiePlotDeepseekTest.java,9445dd61cd5c099ac249ef89fabf3c2b69f6948a431cb6c550883adc8c54e216,READY,
Chart,12,Gemini 3.8 Flash,org.jfree.chart.plot.MultiplePiePlot,YES,MultiplePiePlotGeminiTest.java,3af18969833d9cf7cef49f4ef927c29404363d63b6b8b1d8400963717844949f,READY,
Chart,13,IPO (Native IPO),org.jfree.chart.block.BorderArrangement,NO,,,NO_SUITE,
Chart,13,MIO (EvoSuite SBST),org.jfree.chart.block.BorderArrangement,YES,BorderArrangement_ESTest.java,af25ed26699234f58926ddef10ac90297efeb4ababc121c3bf9d8764fa605e91,READY,
Chart,13,DeepSeek V4 Flash,org.jfree.chart.block.BorderArrangement,YES,BorderArrangementDeepseekTest.java,171827b705e23de252fcbadfba8703ba016113df6b0b7c121c9f0d3fc89264e6,READY,
Chart,13,Gemini 3.8 Flash,org.jfree.chart.block.BorderArrangement,YES,BorderArrangementGeminiTest.java,1cb52ef869eabe1603b4c5d730c398547a9991691d91870d7b071489cc8175dd,READY,
Chart,14,IPO (Native IPO),org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.XYPlot,YES,XYPlot_IPOTest.java,a8319aa106c1278a7177b74dbb1d3dd027b76c5fb41368d46a0b5b15f03d0d17,READY,
Chart,14,MIO (EvoSuite SBST),org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.XYPlot,YES,CategoryPlot_ESTest.java;XYPlot_ESTest.java,71021be3861f2c654a3ccdfc269d853403b0156149ca711b1387c389da325b01,READY,
Chart,14,DeepSeek V4 Flash,org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.XYPlot,YES,CategoryPlotDeepseekTest.java;XYPlotDeepseekTest.java,dc83d2919088e1d820c80963b0f7f90c873b76388039f12294e76c6ec914120a,READY,
Chart,14,Gemini 3.8 Flash,org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.XYPlot,YES,CategoryPlotGeminiTest.java;XYPlotGeminiTest.java,92273f9ad5008e8ee6a2acc71e824b02b7186918c60c1f0b566b4c91d9f60bcc,READY,
Chart,15,IPO (Native IPO),org.jfree.chart.plot.PiePlot,NO,,,NO_SUITE,
Chart,15,MIO (EvoSuite SBST),org.jfree.chart.plot.PiePlot,YES,PiePlot_ESTest.java,8159fd9995d7b961b96a39c9e26ae7816cb95b914fab42f52bf9712f4e6784f4,READY,
Chart,15,DeepSeek V4 Flash,org.jfree.chart.plot.PiePlot,YES,PiePlotDeepseekTest.java,16d606cff143613957134331ada020aae2b208b96ef87db444458f665a28ae0b,READY,
Chart,15,Gemini 3.8 Flash,org.jfree.chart.plot.PiePlot,YES,PiePlotGeminiTest.java,98821a5c1898de8cb8fcbf3b644caf1473aa9db03d52f648b45ef2043a6b931c,READY,
Chart,16,IPO (Native IPO),org.jfree.data.category.DefaultIntervalCategoryDataset,YES,DefaultIntervalCategoryDataset_IPOTest.java,d9c674900ba00a3b44c6afe53800f23dc801a2e8d436c54874326f8d6ace4fa8,READY,
Chart,16,MIO (EvoSuite SBST),org.jfree.data.category.DefaultIntervalCategoryDataset,YES,DefaultIntervalCategoryDataset_ESTest.java,9c6b2c4b78c8421aaa5885d1edf68f17cfb548cd45d974cc9068a42d15176ad6,READY,
Chart,16,DeepSeek V4 Flash,org.jfree.data.category.DefaultIntervalCategoryDataset,YES,DefaultIntervalCategoryDatasetDeepseekTest.java,e3d87c0bfaeab74888e87b2da7ee2d55e9d913c7236647cbd10827bf23588f40,READY,
Chart,16,Gemini 3.8 Flash,org.jfree.data.category.DefaultIntervalCategoryDataset,YES,DefaultIntervalCategoryDatasetGeminiTest.java,8b74b76dad6b83cc4718d1b71b1c8a4fbcda1ea341399b36253fa7a7bbc0e129,READY,
Chart,17,IPO (Native IPO),org.jfree.data.time.TimeSeries,YES,TimeSeries_IPOTest.java,17ccb9e096c10d86d1ffee3cda9e01e74bae1bde5377c8a9416abf9383cdcbc9,READY,
Chart,17,MIO (EvoSuite SBST),org.jfree.data.time.TimeSeries,YES,TimeSeries_ESTest.java,8d045ebbfd668fdf73afa3928628354f3c7e6943d560dfb8fdc3498405f3ade3,READY,
Chart,17,DeepSeek V4 Flash,org.jfree.data.time.TimeSeries,YES,TimeSeriesDeepseekTest.java,7e6bf2044d60df717c5b7ebea5dca648c243b9907e57bce6d8e26b40651568ee,READY,
Chart,17,Gemini 3.8 Flash,org.jfree.data.time.TimeSeries,YES,TimeSeriesGeminiTest.java,660d45c633676787ef892d3d58254c2ee615ee38a18f1caacd7ac509343fc506,READY,
Chart,18,IPO (Native IPO),org.jfree.data.DefaultKeyedValues;org.jfree.data.DefaultKeyedValues2D,YES,DefaultKeyedValues2D_IPOTest.java,9d7a6be8ed5bc4ba37bdc2ba455f073d332000e0483cf783b8a0129346ce33df,READY,
Chart,18,MIO (EvoSuite SBST),org.jfree.data.DefaultKeyedValues;org.jfree.data.DefaultKeyedValues2D,YES,DefaultKeyedValues2D_ESTest.java;DefaultKeyedValues_ESTest.java,679271321a80bf4458e8b54f581ab8de4bbc86268cb1a8256fd6cc30bfb6fc65,READY,
Chart,18,DeepSeek V4 Flash,org.jfree.data.DefaultKeyedValues;org.jfree.data.DefaultKeyedValues2D,YES,DefaultKeyedValues2DDeepseekTest.java;DefaultKeyedValuesDeepseekTest.java,d334b358597a1b8782b6c484e434dd67b1f080eb431207c6527f061b412cfd65,READY,
Chart,18,Gemini 3.8 Flash,org.jfree.data.DefaultKeyedValues;org.jfree.data.DefaultKeyedValues2D,YES,DefaultKeyedValues2DGeminiTest.java;DefaultKeyedValuesGeminiTest.java,e3313af5d9fecc28b490dca099cc25aecad2d78cc61becee4dcc1dbdb556ae0f,READY,
Chart,19,IPO (Native IPO),org.jfree.chart.plot.CategoryPlot,NO,,,NO_SUITE,
Chart,19,MIO (EvoSuite SBST),org.jfree.chart.plot.CategoryPlot,YES,CategoryPlot_ESTest.java,c093dddbab7d834033bcc427d00ea2c09ebd9a9ce02b98e07f64618c039c53a1,READY,
Chart,19,DeepSeek V4 Flash,org.jfree.chart.plot.CategoryPlot,YES,CategoryPlotDeepseekTest.java,74b6a7cf1f57049954627f9cbfec70dbc1465b0074561aa9f607dfdb8f31ea7a,READY,
Chart,19,Gemini 3.8 Flash,org.jfree.chart.plot.CategoryPlot,YES,CategoryPlotGeminiTest.java,7a2e4613d8700bf1db97e3124091682610a022f6d9477fb5c8c9a9000dd2ab91,READY,
Chart,20,IPO (Native IPO),org.jfree.chart.plot.ValueMarker,YES,ValueMarker_IPOTest.java,2d8c8bdd988d2f85a7100c186411d135d11ccbe4e4992e0b1943cc45ef62faaa,READY,
Chart,20,MIO (EvoSuite SBST),org.jfree.chart.plot.ValueMarker,YES,ValueMarker_ESTest.java,abf98b5d926c5ed232500373d4e7be1e7bf5263d41035f1df5cd31e541cf8698,READY,
Chart,20,DeepSeek V4 Flash,org.jfree.chart.plot.ValueMarker,YES,ValueMarkerDeepseekTest.java,2f5d3f24b5b6b74904b87f816c3c88024a701d61fcbc1f174b290de2ccef5bba,READY,
Chart,20,Gemini 3.8 Flash,org.jfree.chart.plot.ValueMarker,YES,ValueMarkerGeminiTest.java,9a20877270477b6fe0265e847589b69481be6fdcc42343529bc51f9945aaa87e,READY,
Chart,21,IPO (Native IPO),org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,YES,DefaultBoxAndWhiskerCategoryDataset_IPOTest.java,a0e65c267eab435a81b7ca08aafd23b9d3640d334863d1bad0d808d876fcc84e,READY,
Chart,21,MIO (EvoSuite SBST),org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,YES,DefaultBoxAndWhiskerCategoryDataset_ESTest.java,f79ede1ba1c816fa9ec46bc70f4fce92d7b1d45a928e8a7c203945a10950ab22,READY,
Chart,21,DeepSeek V4 Flash,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,YES,DefaultBoxAndWhiskerCategoryDatasetDeepseekTest.java,6f4c300bcd1b9ae90f4032560f7bcfc3a5e50a1575db4a978d22218aff772575,READY,
Chart,21,Gemini 3.8 Flash,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,YES,DefaultBoxAndWhiskerCategoryDatasetGeminiTest.java,1c35af8141f6cac202332c26981ebe6cf0927fac2a2027c9505ace9f754e3a68,READY,
Chart,22,IPO (Native IPO),org.jfree.data.KeyedObjects2D,NO,,,NO_SUITE,
Chart,22,MIO (EvoSuite SBST),org.jfree.data.KeyedObjects2D,YES,KeyedObjects2D_ESTest.java,4c3a7ed2d3ffd0ad0d01eb324909e7602387c25872f3c816788a45f5ea2f3766,READY,
Chart,22,DeepSeek V4 Flash,org.jfree.data.KeyedObjects2D,YES,KeyedObjects2DDeepseekTest.java,e3b15e91761242aa9c25d013cd91a60110ac0e8078d52e2bc5ff90cb66e84197,READY,
Chart,22,Gemini 3.8 Flash,org.jfree.data.KeyedObjects2D,YES,KeyedObjects2DGeminiTest.java,f34c157ce847b340346d23253cb7261363a16634e280dcec588159e71fe1fc0b,READY,
Chart,23,IPO (Native IPO),org.jfree.chart.renderer.category.MinMaxCategoryRenderer,NO,,,NO_SUITE,
Chart,23,MIO (EvoSuite SBST),org.jfree.chart.renderer.category.MinMaxCategoryRenderer,YES,MinMaxCategoryRenderer_ESTest.java,6f5e6576cb5e8e3a454fffc75554a3641fcaf06255a4edc6fb30c4789922b32a,READY,
Chart,23,DeepSeek V4 Flash,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,YES,MinMaxCategoryRendererDeepseekTest.java,a0d6f34558824fe958d52cad5a2c1b42fc8853c5ce07c01b432f0da25460b984,READY,
Chart,23,Gemini 3.8 Flash,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,YES,MinMaxCategoryRendererGeminiTest.java,c97e1be52d2899f81b1a93d71d30dd311dc6ccb5416a2bb1378d24004b0dd264,READY,
Chart,24,IPO (Native IPO),org.jfree.chart.renderer.GrayPaintScale,NO,,,NO_SUITE,
Chart,24,MIO (EvoSuite SBST),org.jfree.chart.renderer.GrayPaintScale,YES,GrayPaintScale_ESTest.java,ec98b0f97d6ec4247a57d809af0c90b44d4079f265562ab503e0fbcbe2db1cfb,READY,
Chart,24,DeepSeek V4 Flash,org.jfree.chart.renderer.GrayPaintScale,YES,GrayPaintScaleDeepseekTest.java,37227435ce289493eec723e6649230f85a25f803f48c6b23ff282c3b99a1694a,READY,
Chart,24,Gemini 3.8 Flash,org.jfree.chart.renderer.GrayPaintScale,YES,GrayPaintScaleGeminiTest.java,1bf050f3adf8cb835a33cb860a1b5e8e3c051962f55737b85f419ea49df6e66c,READY,
Chart,25,IPO (Native IPO),org.jfree.chart.renderer.category.StatisticalBarRenderer,NO,,,NO_SUITE,
Chart,25,MIO (EvoSuite SBST),org.jfree.chart.renderer.category.StatisticalBarRenderer,YES,StatisticalBarRenderer_ESTest.java,b03c808a2d290a52e0db5407486cb7ff3d0481a80ad56a8d2334cb45165ea5e9,READY,
Chart,25,DeepSeek V4 Flash,org.jfree.chart.renderer.category.StatisticalBarRenderer,YES,StatisticalBarRendererDeepseekTest.java,cc48fb50c0747e07d369d7c6f8a32d22f4cc7199d8d85c19c5a9f9d5336597a1,READY,
Chart,25,Gemini 3.8 Flash,org.jfree.chart.renderer.category.StatisticalBarRenderer,YES,StatisticalBarRendererGeminiTest.java,e9b0f5a329c24c9ac7c0f64618e7da9cc4c0dee823849c94a9c8dfc4c24f6651,READY,
Chart,26,IPO (Native IPO),org.jfree.chart.axis.Axis,NO,,,NO_SUITE,
Chart,26,MIO (EvoSuite SBST),org.jfree.chart.axis.Axis,YES,Axis_ESTest.java,726b6e9bd31aa2079bfd1831d7d4d18ba0e39b57e4a8e97e522f8529ed5c70c6,READY,
Chart,26,DeepSeek V4 Flash,org.jfree.chart.axis.Axis,YES,AxisDeepseekTest.java,dcb71130f1b2e599c2a49007e401c20120460a25a7a57466599b86f3655a4b2a,READY,
Chart,26,Gemini 3.8 Flash,org.jfree.chart.axis.Axis,YES,AxisGeminiTest.java,8b45f292e647a5595754c3022ea7f2d16ad5a73fa2d588921550fee3e288305a,READY,
Cli,1,IPO (Native IPO),org.apache.commons.cli.CommandLine,YES,CommandLine_IPOTest.java,31d8761e752b2686f7f8dd49a5688df80b5d79b0c012304ff35a262c55444e48,READY,
Cli,1,MIO (EvoSuite SBST),org.apache.commons.cli.CommandLine,YES,CommandLine_ESTest.java,57de9dd42d1529bcca2c78e5443cb27cc7cdc49010459db5ed6dc65300d0ca9a,READY,
Cli,1,DeepSeek V4 Flash,org.apache.commons.cli.CommandLine,YES,CommandLineDeepseekTest.java,221ce95d6896e788b4e63dba0e9df7879c320a8500a1c755d34050fa09b8c085,READY,
Cli,1,Gemini 3.8 Flash,org.apache.commons.cli.CommandLine,YES,CommandLineGeminiTest.java,966d664d5a8f5f9484ba0c3f5046d7a31f0a0767f2d2e82318d80e435882c440,READY,
Cli,2,IPO (Native IPO),org.apache.commons.cli.PosixParser,NO,,,NO_SUITE,
Cli,2,MIO (EvoSuite SBST),org.apache.commons.cli.PosixParser,YES,PosixParser_ESTest.java,e2583c05aaf96e5ca1da16146812bf784ceeda5a05867a670aaa9839548164a3,READY,
Cli,2,DeepSeek V4 Flash,org.apache.commons.cli.PosixParser,YES,PosixParserDeepseekTest.java,a376bfe889030aae7cc752986f29699720cf99c2bf1f03e044979b7c2ab5b402,READY,
Cli,2,Gemini 3.8 Flash,org.apache.commons.cli.PosixParser,YES,PosixParserGeminiTest.java,c86190bb7bfbc39bf0965d5fcb22c521dce3068b8b5271236699935dff8539c2,READY,
Cli,3,IPO (Native IPO),org.apache.commons.cli.TypeHandler,NO,,,NO_SUITE,
Cli,3,MIO (EvoSuite SBST),org.apache.commons.cli.TypeHandler,YES,TypeHandler_ESTest.java,b45055e4244015c5ac91b75111e4fa2f821d296c668af7bbd0d945ca0c0ece59,READY,
Cli,3,DeepSeek V4 Flash,org.apache.commons.cli.TypeHandler,YES,TypeHandlerDeepseekTest.java,ef1ef3ba5e21272c9cb8ced8448e7221017b265d04544a71454335bbfee084d0,READY,
Cli,3,Gemini 3.8 Flash,org.apache.commons.cli.TypeHandler,YES,TypeHandlerGeminiTest.java,605ec43fdcdfd8fc44aa1829387c2f8530c3acac43619d7de6ac572afdb9e8e7,READY,
Cli,4,IPO (Native IPO),org.apache.commons.cli.Parser,NO,,,NO_SUITE,
Cli,4,MIO (EvoSuite SBST),org.apache.commons.cli.Parser,YES,Parser_ESTest.java,7377e3a9236a42f41961bd1baf95d2a9104765080250ba876051bfc9b2f48ec4,READY,
Cli,4,DeepSeek V4 Flash,org.apache.commons.cli.Parser,YES,ParserDeepseekTest.java,de846b45a6d7bfbd1591d25f9e8fe8476f6fe534a9a0cb93721f3bbb4adb0249,READY,
Cli,4,Gemini 3.8 Flash,org.apache.commons.cli.Parser,YES,ParserGeminiTest.java,25148970ae98e6e4dd503160a0fe80ab2e4b23b78d3f29b520cb9f77a8028b3e,READY,
Cli,5,IPO (Native IPO),org.apache.commons.cli.Util,NO,,,NO_SUITE,
Cli,5,MIO (EvoSuite SBST),org.apache.commons.cli.Util,YES,Util_ESTest.java,952386346dd01661744a929e24cf23bfeca72d70ad1a3e38a5fe13efd5574236,READY,
Cli,5,DeepSeek V4 Flash,org.apache.commons.cli.Util,YES,UtilDeepseekTest.java,54b5bcb3319709ba255ee99bb0362db690912eabca17fb67b0d0f550fafea2ee,READY,
Cli,5,Gemini 3.8 Flash,org.apache.commons.cli.Util,YES,UtilGeminiTest.java,88cfa04c1e04f5eb135b2d6166d05de17fc33dd5eae5f841724e8984d8e78537,READY,
Cli,7,IPO (Native IPO),org.apache.commons.cli2.builder.PatternBuilder,NO,,,NO_SUITE,
Cli,7,MIO (EvoSuite SBST),org.apache.commons.cli2.builder.PatternBuilder,YES,PatternBuilder_ESTest.java,40706366c8ab864ce431377d221786cfc8d0476ac5fc7bda519bf13a00d1d513,READY,
Cli,7,DeepSeek V4 Flash,org.apache.commons.cli2.builder.PatternBuilder,YES,PatternBuilderDeepseekTest.java,7df8292cb15efd3919fcabb0e57459d5889e41a05b104a2ef0be66956d5f328a,READY,
Cli,7,Gemini 3.8 Flash,org.apache.commons.cli2.builder.PatternBuilder,YES,PatternBuilderGeminiTest.java,6f5d9946da61d6c7a3cbd870a7a69d4266dbfa6ec6397f579885cebcb6ac1a5c,READY,
Cli,8,IPO (Native IPO),org.apache.commons.cli.HelpFormatter,YES,HelpFormatter_IPOTest.java,073267dc64fd413c0459ff7a9c1f093cd8a589137240b6c93e6c67e9549c383e,READY,
Cli,8,MIO (EvoSuite SBST),org.apache.commons.cli.HelpFormatter,YES,HelpFormatter_ESTest.java,a2b01d73c6e5b61c2384280f29103be64e57d08b83a94c1847eccb4741b6624b,READY,
Cli,8,DeepSeek V4 Flash,org.apache.commons.cli.HelpFormatter,YES,HelpFormatterDeepseekTest.java,404d3d13e21549d4cad3b66e1aa93957c0c0b90e6667afff56fc706d5281a067,READY,
Cli,8,Gemini 3.8 Flash,org.apache.commons.cli.HelpFormatter,YES,HelpFormatterGeminiTest.java,00d13f6b6f8f7ac3e5340e60eceb628ebbb05ecd65818a36057298c0b01d3843,READY,
Cli,9,IPO (Native IPO),org.apache.commons.cli.Parser,NO,,,NO_SUITE,
Cli,9,MIO (EvoSuite SBST),org.apache.commons.cli.Parser,YES,Parser_ESTest.java,424651151556c544cd11114f10632f5d7aa685f256d37e94e6452988b3ae0fd9,READY,
Cli,9,DeepSeek V4 Flash,org.apache.commons.cli.Parser,YES,ParserDeepseekTest.java,e9d8601914ca256b013f6a6f8c85d051e0305cf1b22ce4a952791acb283d2052,READY,
Cli,9,Gemini 3.8 Flash,org.apache.commons.cli.Parser,YES,ParserGeminiTest.java,10c87125d92d90edc77549a43be2786930129bc3653b8396897cb333014b8531,READY,
Cli,10,IPO (Native IPO),org.apache.commons.cli.Parser,NO,,,NO_SUITE,
Cli,10,MIO (EvoSuite SBST),org.apache.commons.cli.Parser,YES,Parser_ESTest.java,0209e2e4f0759260918b7da635282f3b871809484dea14c0474dd20db7abc6e5,READY,
Cli,10,DeepSeek V4 Flash,org.apache.commons.cli.Parser,YES,ParserDeepseekTest.java,3f358ce141a0f9482659d4c5ff2e9912a486ef4f3709bbbd52186a401f0a1274,READY,
